AppID,Name,Release date,Price,Positive,Negative,Genres,Categories,Estimated owners,Peak CCU,Metacritic score,Achievements,Windows,Mac,Linux,Supported languages,DLC count,primary_genre,total_reviews,positive_ratio
496350,Supipara - Chapter 1 Spring Has Come!,"Jul 29, 2016",5.24,252,3,Adventure,"Single-player,Steam Trading Cards,Steam Cloud,Family Sharing",0 - 20000,0,0,0,TRUE,FALSE,FALSE,['English'],0,Adventure,255,0.988235294117647
1934300,Armored Brigade II,"Apr 8, 2025",35.99,117,13,"Simulation,Strategy","Single-player,Steam Workshop,Steam Cloud,Family Sharing",0 - 20000,8,0,0,TRUE,FALSE,FALSE,['English'],1,Simulation,130,0.9
1108640,OMNIMUS,"Sep 25, 2019",0.99,47,6,"Adventure,Indie","Single-player,Family Sharing",0 - 20000,0,0,0,TRUE,TRUE,TRUE,"['English', 'Russian']",1,Adventure,53,0.886792452830189
1025440,Fantasy General II,"Sep 5, 2019",13.99,1025,210,Strategy,"Single-player,Multi-player,PvP,Online PvP,Steam Achievements,Steam Trading Cards,Steam Cloud,Includes level editor,Family Sharing",100000 - 200000,13,80,77,TRUE,FALSE,FALSE,"['English', 'German', 'Spanish - Spain', 'Simplified Chinese', 'French', 'Russian']",4,Strategy,1235,0.82995951417004
2113450,"Forests, Fields and Fortresses","Apr 5, 2023",1.49,64,2,"Casual,Indie","Single-player,Steam Achievements,Partial Controller Support,Steam Cloud,Family Sharing",0 - 20000,0,0,13,TRUE,TRUE,FALSE,"['English', 'Russian']",0,Casual,66,0.96969696969697
328460,Redline,"Oct 23, 2014",1.04,74,35,"Action,Racing","Single-player,Family Sharing",0 - 20000,0,0,0,TRUE,FALSE,FALSE,['English'],0,Action,109,0.678899082568807
1607040,Evertried,"Oct 21, 2021",5.99,55,14,"Indie,Strategy","Single-player,Full controller support,Family Sharing",0 - 20000,0,0,66,TRUE,TRUE,TRUE,"['English', 'French', 'German', 'Japanese', 'Korean', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Traditional Chinese']",1,Strategy,69,0.797101449275362
688420,Bad North: Jotunn Edition,"Nov 16, 2018",2.99,11367,831,"Action,Indie,Simulation","Single-player,Steam Achievements,Full controller support,Steam Cloud,Remote Play on TV,Family Sharing",500000 - 1000000,64,0,11,TRUE,TRUE,FALSE,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Korean', 'Turkish']",1,Action,12198,0.931874077717659
1514380,COGEN: Sword of Rewind / COGEN: 大鳥こはくと刻の剣,"Jan 26, 2022",12.49,75,34,Action,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing",20000 - 50000,0,0,39,TRUE,FALSE,FALSE,"['English', 'Simplified Chinese', 'Traditional Chinese', 'Japanese', 'Korean', 'Spanish - Spain', 'Portuguese - Brazil']",3,Action,109,0.688073394495413
2334500,Wizard Shrimp,"Dec 13, 2024",2.99,95,2,"Action,Casual,Indie","Single-player,Steam Achievements,Full controller support,Stats,Family Sharing",0 - 20000,1,0,24,TRUE,FALSE,FALSE,['English'],0,Action,97,0.979381443298969
416790,The Metronomicon: Slay The Dance Floor,"Sep 29, 2016",4.99,330,65,"Action,Indie,RPG","Single-player,Multi-player,PvP,Shared/Split Screen PvP,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Custom Volume Controls,Adjustable Difficulty,Keyboard Only Option,Steam Cloud,Steam Leaderboards,Includes level editor,Remote Play Together,Family Sharing",20000 - 50000,1,79,32,TRUE,TRUE,FALSE,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Portuguese - Brazil', 'Russian', 'Japanese']",8,Action,395,0.835443037974684
672230,I fell from Grace,"Dec 20, 2017",0.79,54,22,"Adventure,Indie","Single-player,Steam Achievements,Partial Controller Support,Family Sharing",0 - 20000,0,62,46,TRUE,FALSE,FALSE,['English'],1,Adventure,76,0.710526315789474
1110050,Evan's Remains,"Jun 11, 2020",1.39,1637,230,"Adventure,Casual,Indie","Single-player,Steam Achievements,Full controller support,Camera Comfort,Playable without Timed Input,Family Sharing",200000 - 500000,2,75,17,TRUE,TRUE,FALSE,"['English', 'French', 'Italian', 'German', 'Japanese', 'Portuguese - Brazil', 'Spanish - Latin America', 'Russian', 'Simplified Chinese']",1,Adventure,1867,0.876807712908409
715560,Eastshade,"Feb 13, 2019",9.99,4608,549,"Adventure,Indie","Single-player,Steam Achievements,Full controller support,Remote Play on TV,Family Sharing",100000 - 200000,3,78,18,TRUE,FALSE,FALSE,"['English', 'French', 'German', 'Russian', 'Simplified Chinese']",1,Adventure,5157,0.893542757417103
849178,Shadow of the Tomb Raider: Definitive Edition,"Sep 14, 2018",4,13036,4825,"Action,Adventure","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Family Sharing",0 - 20000,0,77,99,TRUE,TRUE,TRUE,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Arabic']",0,Action,17861,0.729858350596271
375510,New kind of adventure,"Jun 4, 2015",0.99,632,881,"Adventure,Indie,RPG,Early Access","Single-player,Steam Trading Cards,Family Sharing",500000 - 1000000,0,0,0,TRUE,FALSE,FALSE,['English'],0,Adventure,1513,0.417713152676801
2404170,Museum No.9,"Feb 9, 2025",4.99,160,49,"Adventure,Indie,RPG,Simulation,Strategy","Single-player,Steam Achievements,Steam Cloud,Family Sharing",0 - 20000,0,0,49,TRUE,FALSE,FALSE,"['English', 'Simplified Chinese', 'French', 'German']",0,Adventure,209,0.76555023923445
1555110,Chasing Tails ~A Promise in the Snow~,"Aug 13, 2021",1.59,3624,297,Adventure,"Single-player,Steam Achievements,Steam Trading Cards,Family Sharing",100000 - 200000,29,0,30,TRUE,TRUE,TRUE,"['English', 'German', 'Simplified Chinese', 'Spanish - Latin America', 'Traditional Chinese', 'Russian', 'Portuguese - Brazil', 'Korean']",3,Adventure,3921,0.924254016832441
2997980,Natsu no Sagashimono ~What We Found That Summer~,"Sep 27, 2024",11.99,687,92,"Casual,RPG","Single-player,Steam Cloud,Family Sharing",20000 - 50000,16,0,0,TRUE,FALSE,FALSE,"['English', 'Japanese', 'Simplified Chinese']",0,Casual,779,0.881899871630295
1420650,Touhou Bunkachou ～ Shoot the Bullet.,"Jun 18, 2021",10.99,84,3,"Action,Indie","Single-player,Steam Cloud,Family Sharing",50000 - 100000,0,0,0,TRUE,FALSE,FALSE,['Japanese'],0,Action,87,0.96551724137931
375500,The Deep Paths: Labyrinth Of Andokost,"Oct 26, 2016",1.49,74,52,RPG,"Single-player,Family Sharing",20000 - 50000,0,0,0,TRUE,TRUE,FALSE,['English'],0,RPG,126,0.587301587301587
914710,Cat Quest II,"Sep 24, 2019",3.74,6092,273,"Action,Adventure,Indie,RPG","Single-player,Multi-player,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together,Family Sharing",200000 - 500000,44,76,9,TRUE,TRUE,FALSE,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Dutch', 'Korean', 'Thai', 'Traditional Chinese', 'Turkish', 'Spanish - Latin America']",0,Action,6365,0.957109190887667
374640,March of Industry: Very Capitalist Factory Simulator Entertainments,"Oct 7, 2015",2.49,26,52,"Indie,Simulation,Strategy","Single-player,Steam Achievements,Steam Trading Cards,Family Sharing",0 - 20000,0,0,10,TRUE,TRUE,TRUE,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Russian']",0,Simulation,78,0.333333333333333
259190,Alone in the Dark: The New Nightmare,"Oct 29, 2013",1.74,437,185,"Action,Adventure","Single-player,Family Sharing",20000 - 50000,1,66,0,TRUE,FALSE,FALSE,['English'],0,Action,622,0.702572347266881
861760,Foto Flash 2,"Sep 6, 2018",2.99,40,20,"Sexual Content,Nudity,Adventure,Indie","Single-player,Steam Achievements,Partial Controller Support,Family Sharing",0 - 20000,0,0,15,TRUE,FALSE,FALSE,['English'],0,Adventure,60,0.666666666666667
1527880,Darkness Under My Bed,"Feb 19, 2021",1.19,77,7,"Adventure,Indie","Single-player,Steam Achievements,Family Sharing",0 - 20000,0,0,45,TRUE,FALSE,FALSE,"['English', 'Polish']",0,Adventure,84,0.916666666666667
