comparison,diff,lwr,upr,p adj
Adventure-Action,0.0364709488015766,0.0290365482859522,0.0439053493172011,0
Casual-Action,0.0254047207794994,0.0163501442765534,0.0344592972824454,7.41628980449605e-14
Massively Multiplayer-Action,-0.0619015005773875,-0.134428027580905,0.0106250264261301,0.167210206687273
Racing-Action,-0.0148769175445884,-0.0425576493105381,0.0128038142213613,0.766835276969658
RPG-Action,0.0183476202135167,0.00481345747087245,0.0318817829561609,0.000875776855232324
Simulation-Action,-0.0272341788311309,-0.0396540720600803,-0.0148142856021815,3.7279002107482e-10
Sports-Action,-0.0563743873835222,-0.109967918647046,-0.00278085611999864,0.0304437299614018
Strategy-Action,0.00320602453074026,-0.0129931567446814,0.0194052058061619,0.999541413418018
Casual-Adventure,-0.0110662280220772,-0.0209142883363002,-0.00121816770785432,0.0144946180104789
Massively Multiplayer-Adventure,-0.0983724493789642,-0.171002305880935,-0.0257425928769936,0.000890141477240314
Racing-Adventure,-0.0513478663461651,-0.0792982124514162,-0.0233975202409139,4.33637447616597e-07
RPG-Adventure,-0.01812332858806,-0.032200703963081,-0.00404595321303895,0.00212794873759892
Simulation-Adventure,-0.0637051276327075,-0.0767148426227976,-0.0506954126426175,0
Sports-Adventure,-0.0928453361850988,-0.146578617581261,-0.0391120547889367,2.97566751694678e-06
Strategy-Adventure,-0.0332649242708364,-0.0499206263064409,-0.0166092222352318,2.09713181265059e-08
Massively Multiplayer-Casual,-0.0873062213568869,-0.160119757873924,-0.0144926848398503,0.00622662522835349
Racing-Casual,-0.0402816383240878,-0.068705869044097,-0.0118574076040787,0.00037712555321312
RPG-Casual,-0.00705710056598274,-0.0220533514998073,0.00793915036784181,0.874116271817668
Simulation-Casual,-0.0526388996106303,-0.0666377470183407,-0.0386400522029199,0
Sports-Casual,-0.0817791081630216,-0.135760406537738,-0.0277978097883055,9.11514227320831e-05
Strategy-Casual,-0.0221986962487591,-0.0396379466603975,-0.00475944583712083,0.00255280391399693
Racing-Massively Multiplayer,0.0470245830327991,-0.0303449759395033,0.124394142005101,0.624072547630815
RPG-Massively Multiplayer,0.0802491207909042,0.00674402365053917,0.153754217931269,0.0203224567425271
Simulation-Massively Multiplayer,0.0346673217462566,-0.0386407916675301,0.107975435160043,0.871008506798527
Sports-Massively Multiplayer,0.00552711319386534,-0.0844289446219616,0.0954831710096922,0.999999947969223
Strategy-Massively Multiplayer,0.0651075251081278,-0.00893461977209627,0.139149669988352,0.138109088824061
RPG-Racing,0.0332245377581051,0.00307283635468527,0.0633762391615249,0.0182753512381227
Simulation-Racing,-0.0123572612865425,-0.0420255150975626,0.0173109925244777,0.934017082099089
Sports-Racing,-0.0414974698389338,-0.10148261908165,0.018487679403782,0.441816857459836
Strategy-Racing,0.0180829420753287,-0.0133553309429301,0.0495212150935875,0.692923166598563
Simulation-RPG,-0.0455817990446476,-0.0628200105017865,-0.0283435875875086,1.12687636999453e-13
Sports-RPG,-0.0747220075970389,-0.129632560132201,-0.0198114550618766,0.000817449954319871
Strategy-RPG,-0.0151415956827764,-0.0352740485988148,0.00499085723326201,0.322175101461174
Sports-Simulation,-0.0291402085523913,-0.0837867909376689,0.0255063738328863,0.774543287979393
Strategy-Simulation,0.0304402033618711,0.0110392794897812,0.0498411272339611,3.98906580246772e-05
Strategy-Sports,0.0595804119142624,0.00395300237034785,0.115207821458177,0.0251266010674521
